Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
Digital Media Planner,Not Disclosed by Recruiter,5-10,media_planning digital_media,Advertising,MUMBAI,Marketing Advertising MR PR Media_Planning,Advertising PR MR Event_Management,Media Planning Executive/Manager
Online Bidding Executive,Not Disclosed by Recruiter,2-5,pre_sales closing software_knowledge clients requirements negotiating client online_bidding good_communication technology,Sales,PUNE,Sales Retail Business_Development,IT-Software Software_Services,Sales Executive/Officer
Trainee Research Research Executive Hi Tech Operations,Not Disclosed by Recruiter,0-1,computer_science fabrication quality_check intellectual_property electronics support_services research management human_resource_management research_executive,R&D,GURGAON,Engineering_Design R&D,Recruitment Staffing,R&D Executive
Technical Support,"2,00,000-4,00,000",0-5,technical_support,N.A.,MUMBAI,IT_Software,IT-Software Software_Services,Technical Support Engineer
Software Test Engineer hyderabad,Not Disclosed by Recruiter,2-5,manual_testing test_engineering test_cases web_testing web_technologies,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Testing Engineer
Opening For Adobe Analytics Specialist,"7,00,000-17,00,000",5-7,adobe_experience_manager digital digital_marketing adobe_analytics data_analytics aem adobe sitecatalyst,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,System Analyst
Sales Fresher for Leading Property Consultant,"2,00,000-3,00,000",0-0,channel_partners real_estate negotiation property residential_sales,Sales,BENGALURU,Sales Retail Business_Development,Real_Estate Property,Sales Executive/Officer
Opportunity For Azure Devops Architect For Hyderabad Location,Not Disclosed by Recruiter,9-14,tfs azure git vsts docker dynatrace splunk aws,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Technical Architect
BDE PUNE,Not Disclosed by Recruiter,2-7,bde,Sales,PUNE,Sales Retail Business_Development,IT-Software Software_Services,Sales Executive/Officer
Technical Support Product Support,Not Disclosed by Recruiter,1-5,technical_support support_services application_support communication_skills voice_based_process semi_voice semi_voice_process,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(Technical)
Executive Assistant To Chairman,"25,00,000-35,00,000",5-10,secretary executive_assistant ea,Corporate_Planning Consulting Strategy,MUMBAI,Strategy Management_Consulting Corporate_Planning,Courier Transportation Freight Warehousing,Corporate Planning/Strategy Manager
SEO Executive,Not Disclosed by Recruiter,1-6,website web_analytics xml link_building google_analytics case_studies seo social_media tracking maintaining,N.A.,GREATER NOIDA DELHI,IT_Software,IT-Software Software_Services,Webmaster
Workflow Coordinator,Not Disclosed by Recruiter,2-7,operations workflow tat monitoring mts email,Operations,DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Process Flow Analyst
Oracle IDAM,Not Disclosed by Recruiter,3-7,oracle_idam oim oam,Programming_&_Design,CHENNAI KOLKATA BENGALURU HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
