job_id,title,company_name,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,label,source,source_url,is_indian_market
india_scam_1,Urgent Hiring - ASSETS- 2018,Confidential Placement Partner,Bengaluru,Programming & Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Urgent hiring for ASSETS- 2018 in Bengaluru. Selected applicants can start immediately after a short WhatsApp screening. Compensation is Not Disclosed by Recruiter. To confirm the interview slot, share Aadhaar, PAN, and a refundable registration fee over UPI today.","Share Aadhaar, PAN, and bank account details before onboarding. Email, Creative, Texturing, Writing, Time, Interviewing, Map, Application, Testing, Open",,0,0,0,Full-time,2 - 5 yrs,Any Graduate,"Media, Entertainment, Internet","IT Software - Application Programming , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_2,Urgent Hiring - Mechanical Engineering Jobs in Noida - Design Engineer,Confidential Placement Partner,Noida,Engineering Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Premium placement partner is onboarding candidates for Mechanical Engineering Jobs in Noida - Design Engineer across Noida. The company guarantees fast joining, flexible work from home, and salary up to Not Disclosed by Recruiter. Candidates must pay the document verification charge before the final HR round.","Pay the registration fee by UPI to activate the joining workflow. Policies, Service, PHP, HTTP, Engineering Design, Troubleshooting, Operations, Mechanical engineering, Supervision, Engineering analysis",,0,0,0,Full-time,2 - 7 yrs,Any Graduate,"Recruitment, Staffing","Engineering Design , R&D",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_3,Urgent Hiring - Sales &amp; Marketing Head for a Well-known US Company at Andheri,Confidential Placement Partner,"Mumbai, Mumbai Suburbs",Recruitment,"10,00,000 - 15,00,000 PA.",Fast-track recruiting partner claiming India-wide urgent openings.,"Immediate openings for Sales &amp; Marketing Head for a Well-known US Company at Andheri. Interview rounds are handled only on Telegram for faster processing. The recruiter will share the offer letter once the security deposit is paid. Preferred location is Mumbai, Mumbai Suburbs and the expected package is 10,00,000 - 15,00,000 PA..","WhatsApp and Telegram communication only; no official company email required. Promotions, Offline Marketing, Product Positioning, Brand Positioning, Marketing Communication, Strategic Planning, Developing Marketing Strategies, Sales, Sales Lead Generation, Advertising",,0,0,0,Full-time,8 - 10 yrs,Any Graduate,Other,Top Management,1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_4,Urgent Hiring - Technical Officers/Executives/Managers :,Confidential Placement Partner,Delhi,Production/Manufacturing/Maintenance,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,Government and private sector hiring drive for Technical Officers/Executives/Managers : in Delhi. No hard skills test is required. Shortlisted applicants should send bank details and a training fee to reserve their batch. Salary offer ranges around Not Disclosed by Recruiter.,"Interview confirmation depends on a refundable document verification charge. Basic, Chemistry, Analytical",,0,0,0,Full-time,5 - 8 yrs,Any Graduate,"Pharma, Biotech, Clinical Research","Production , Manufacturing , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_5,Urgent Hiring - Ticketing Executive - Travel,Confidential Placement Partner,Noida,Ticketing/Travel/Documentation,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Urgent hiring for Ticketing Executive - Travel in Noida. Selected applicants can start immediately after a short WhatsApp screening. Compensation is Not Disclosed by Recruiter. To confirm the interview slot, share Aadhaar, PAN, and a refundable registration fee over UPI today.","Share Aadhaar, PAN, and bank account details before onboarding. Ticketing Executive - Travel",,0,0,0,Full-time,3 - 8 yrs,Any Graduate,"Recruitment, Staffing","Travel , Tours , Ticketing , Airlines",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_6,Urgent Hiring - Lead Front End Developer,Confidential Placement Partner,Pune,Programming & Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Premium placement partner is onboarding candidates for Lead Front End Developer across Pune. The company guarantees fast joining, flexible work from home, and salary up to Not Disclosed by Recruiter. Candidates must pay the document verification charge before the final HR round.","Pay the registration fee by UPI to activate the joining workflow. HTML, JSON, Android, rest, development, css, technical, testing, mobile, Wellness, javascript, Ideas, English, Front end, NoSQL, java, Data modeling, Healthcare, agile, applications",,0,0,0,Full-time,5 - 10 yrs,Any Graduate,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_7,Urgent Hiring - Enterprise Data Management Analyst,MG Global,Mumbai,Recruitment,6-12 LPA,Fast-track recruiting partner claiming India-wide urgent openings.,Immediate openings for Enterprise Data Management Analyst. Interview rounds are handled only on Telegram for faster processing. The recruiter will share the offer letter once the security deposit is paid. Preferred location is Mumbai and the expected package is 6-12 LPA.,"WhatsApp and Telegram communication only; no official company email required. python, sql, excel, vba, powerbi",,0,0,0,Full-time,3 - 5 years,bachelor master,Data Science and Analytics,Data Analyst,1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_8,Urgent Hiring - Head of Growth,Confidential Placement Partner,Chennai,Recruitment,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,Government and private sector hiring drive for Head of Growth in Chennai. No hard skills test is required. Shortlisted applicants should send bank details and a training fee to reserve their batch. Salary offer ranges around Not Disclosed by Recruiter.,"Interview confirmation depends on a refundable document verification charge. data management, technical, data modeling",,0,0,0,Full-time,7 - 10 yrs,Any Graduate,"IT-Software, Software Services",Top Management,1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_9,Urgent Hiring - Internships,Confidential Placement Partner,Mumbai,Programming & Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Urgent hiring for Internships in Mumbai. Selected applicants can start immediately after a short WhatsApp screening. Compensation is Not Disclosed by Recruiter. To confirm the interview slot, share Aadhaar, PAN, and a refundable registration fee over UPI today.","Share Aadhaar, PAN, and bank account details before onboarding. Communication, Excel, and immediate joining.",,0,0,0,Full-time,2 - 5 yrs,Any Graduate,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_10,Urgent Hiring - Hiring for Inetrnational BPO Outbound / Inbound Sales Call Shivani,Confidential Placement Partner,"Delhi NCR, Gurgaon, Noida",Voice,incentives,Fast-track recruiting partner claiming India-wide urgent openings.,"Premium placement partner is onboarding candidates for Hiring for Inetrnational BPO Outbound / Inbound Sales Call Shivani across Delhi NCR, Gurgaon, Noida. The company guarantees fast joining, flexible work from home, and salary up to incentives. Candidates must pay the document verification charge before the final HR round.","Pay the registration fee by UPI to activate the joining workflow. domestic bpo, cce, bpo, domestic sales",,0,0,0,Full-time,0 - 2 yrs,Any Graduate,"BPO, Call Centre, ITeS","ITES , BPO , KPO , LPO , Customer Service , Operations",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_11,Urgent Hiring - Product Expansion Analyst,Pure Natural Products,Delhi,Recruitment,3-6 LPA,Fast-track recruiting partner claiming India-wide urgent openings.,Immediate openings for Product Expansion Analyst. Interview rounds are handled only on Telegram for faster processing. The recruiter will share the offer letter once the security deposit is paid. Preferred location is Delhi and the expected package is 3-6 LPA.,"WhatsApp and Telegram communication only; no official company email required. python, excel",,0,0,0,Full-time,1 - 3 years,bachelor master,Data Science and Analytics,Data Analyst,1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_12,"Urgent Hiring - Software Test Engineer- Peera Garhi, New Delhi",Confidential Placement Partner,Delhi NCR,Programming & Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Government and private sector hiring drive for Software Test Engineer- Peera Garhi, New Delhi in Delhi NCR. No hard skills test is required. Shortlisted applicants should send bank details and a training fee to reserve their batch. Salary offer ranges around Not Disclosed by Recruiter.","Interview confirmation depends on a refundable document verification charge. Test Data, Test Cases, Test Scenarios, Test Planning, Test Plan Preparation, Integration Testing, Test Engineering, Test Case Preparation, System Testing",,0,0,0,Full-time,2 - 7 yrs,Any Graduate,"IT-Software, Software Services","IT Software - Application Programming , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_13,Urgent Hiring - Trade Compliance Data Analyst,Emerson,Pune,Recruitment,5-10 LPA,Fast-track recruiting partner claiming India-wide urgent openings.,"Urgent hiring for Trade Compliance Data Analyst in Pune. Selected applicants can start immediately after a short WhatsApp screening. Compensation is 5-10 LPA. To confirm the interview slot, share Aadhaar, PAN, and a refundable registration fee over UPI today.","Share Aadhaar, PAN, and bank account details before onboarding. python, excel, vba",,0,0,0,Full-time,2 - 5 years,bachelor master,Data Science and Analytics,Data Analyst,1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_14,Urgent Hiring - Java or Dot Net,Confidential Placement Partner,Pune,Programming & Design,Not Disclosed by Recruiter,Fast-track recruiting partner claiming India-wide urgent openings.,"Premium placement partner is onboarding candidates for Java or Dot Net across Pune. The company guarantees fast joining, flexible work from home, and salary up to Not Disclosed by Recruiter. Candidates must pay the document verification charge before the final HR round.","Pay the registration fee by UPI to activate the joining workflow. java, software development, excellent communication skills, dotnet, dot netdomain, property, vertical, p",,0,0,0,Full-time,10 - 15 yrs,Any Graduate,"Recruitment, Staffing","IT Software - Application Programming , Maintenance",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_15,Urgent Hiring - Hiring_operation Executive_reputed Education Industry_goregaon_3lakhs,Confidential Placement Partner,Mumbai,University Level,"2,00,000 - 3,00,000 PA.",Fast-track recruiting partner claiming India-wide urgent openings.,"Immediate openings for Hiring_operation Executive_reputed Education Industry_goregaon_3lakhs. Interview rounds are handled only on Telegram for faster processing. The recruiter will share the offer letter once the security deposit is paid. Preferred location is Mumbai and the expected package is 2,00,000 - 3,00,000 PA..",WhatsApp and Telegram communication only; no official company email required. Student Relation Officer,,0,0,0,Full-time,1 - 3 yrs,Any Graduate,"Education, Teaching, Training","Teaching , Education , Training , Counselling",1,1,synthetic_india_scam,local_rule_based_generation,True
india_scam_16,Urgent Hiring - Urgent Opening / RM - Telesales / Delhi -moti Nagar,Confidential Placement Partner,Delhi (New Moti Nagar),Voice,"2,00,000 - 2,50,000 PA.",Fast-track recruiting partner claiming India-wide urgent openings.,"Government and private sector hiring drive for Urgent Opening / RM - Telesales / Delhi -moti Nagar in Delhi (New Moti Nagar). No hard skills test is required. Shortlisted applicants should send bank details and a training fee to reserve their batch. Salary offer ranges around 2,00,000 - 2,50,000 PA..","Interview confirmation depends on a refundable document verification charge. rm, telecalling, tele caller, tele marketing executive, telecaller, domestic bpo, bpo, international bpo, call centre, Communication Skills, Outbound Sales, Outbound Calling, Outbound Process",,0,0,0,Full-time,0 - 5 yrs,Any Graduate,"Banking, Financial Services, Broking","ITES , BPO , KPO , LPO , Customer Service , Operations",1,1,synthetic_india_scam,local_rule_based_generation,True
