job_id,title,company_name,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,label,source,source_url,is_indian_market
6234,Android Developer,,"IN, MP, Indore",Development,240000-500000,"Being into the IT domain for over 4 years, Walkover specializes in web based application development and mobile application development. It has been creating innovative products since it was founded and continues to introduce new products from time to time.Technologies we useCore PHP, Python, #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#, Android, Windows, open source software and powerful AWS servers. Walkover uses the best available technology - premium version of databases and so on, so that our products work smoothly.Key ProductsMSG91 (SMS solutions provider)MSG91 is an internet based service that allows you to send SMS and critical alerts to the masses.Product info:#URL_dec6f6c8d9574a0bc1a076d97338f24cd6025226211457c53c3687296348c0f4#UtterU (International calling)UtterU enables international calling by using mobile dialers, access numbers and other ways like two-way calling. It helps you connect all over the world at very low cost.Product info: #URL_c7cee061daffb40439ee81a61a60ff7f68ca42dd3fd22258a611ff29d71dbae5#Giddh (Accounting software)Giddh is an extremely simple to use Accounting software that manages your day to day financial transactions in a systematic way so that it enhances the efficiency of your business.Product info: #URL_50c92cae3ee0f3f612d663ce1c86fd894e4c1a6247b98a273f0c828e13c68de2#Saveandsearch (Save your documents now to search them later)A web based tool which enables you to save anything and search later.Product info: #URL_cbcbf9e91b0d65022dfffc9fcab1f6005b8f6f42b967c08f21d13332ff197003#","Sound Experience in Android Development of over 2 yearsJob Responsibilities:1. Developing Android mobile platform Application.2. Outstanding problem solving, debugging, searching skills.3. Quick, effective, turnaround of high quality code.","Required Skills:1. Good knowledge of Android application development and designing.2. Must have Sound knowledge of object oriented concepts, database concepts, Java, SqlLite, JSON parsing, XML3 .Knowledge in Android Internals Like, NDK, SDK, Location and Map library, etc.4. Web Services 5. Expertise in integrating applications with handsets and SDKs.6. Strong understanding of SDLC and best practices. Experience in SIP will be preferred.",In-house product development with a chance to try hands on research and development.,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
8087,Senior Drupal Developers,,"IN, ,",,600000-1200000,"Awesome Open Source ResultsSince 2008, Axelerant pursues excellence in people and business solutions. Our values drive our company and culture.Collaboration – Aides team, peers, and Axelerant efforts by working well with othersCommunication – Discussion, planning, etc. are done in a thoughtful and timely mannerCompetence – Can do their role including learning new thingsGiving – Community contributions, feedback, social work, etc.Passionate – Has intense enthusiasm for what they doProductive – Completes tasks timely manner without wasted effort or timeGoing further, we're business value driven that's supported by innovative open source application development and services. We can do whatever you need and more. For example:Website development and migrationsApplication maintenance and support servicesDrupal consultingDrupal trainingsConcept and design developmentProduct developmentSpecifically with product development, Axelerant is leading the way with Curamine, an all-in-one SaaS option for Redmine regarding open source management and development support.Currently, we're location independent with satellite offices in Atlanta, Delhi-NCR, Hyderabad, Bangalore, and Srinagar. We're highly passionate, open source enthusiasts and are working our way to being generalists as well as experienced themers and developers, program and project managers, researchers, technical consultants, and interns.We're expanding, contact us if interested.","Axelerant lives and breathes open source through contributing code, events participation, and sharing freely. Our location independent, yet engaged work culture allows you great freedom to get things done in a low stress environment. We’re constantly improving agile policies and processes based upon weekly feedback. These traits serve as the glue that binds our distributed teams together across eleven cities and various continents.We have our own and collaborate with some of the world's top Drupalers. Further, we work closely with well respected partner companies like Acquia. Amazingly, our team has built boring and awesome stuff with a 100% on-time delivery record.What’s stopping you from being our next awesome teammate?","RequirementsIntense, proven experience with Drupal, PHP, MySQL databases, and JavaScript.Highly values Collaboration, Communication, Competence, Driven, Giving feedback, and being Productive.A professional, personable demeanor. You must be able to represent well of yourself and Axelerant to our clients, your team members, and the open source community.Demonstrated enthusiasm for open source philosophy and community involvement, at web forums and Drupal events for instance.Takes ownership and pride in on time, top quality product delivery.Challenges FacedLead development team for website and application needs of the clients.Assign, monitor, and coordinate team's day-to-day technical activities.Communicate early and collaborate often.Promote and curate development and process standards.Consistently review, revise and propose strategies to achieve short and long term goals. Always be open to ideas and feedback.Ensure documenting features, technical specifications and infrastructure requirements.PreferredFamiliarity with #URL_3d7c0a0fdc26a02721799cc072d88b8f3953b0c36529530db8262b8df693363f#, #URL_b7bad8ac916069eadd573f035544c52dc3519a0ba054fb7ab1ff9ba3e1525399#, or #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659# JavaScript frameworks.Familiarity with Drupal development best practices for Git flow, custom modules, updating hooks, etc.Loves automated testing and techniques using PHPUnit, SimpleTests, and Selenium.Bachelor’s or higher in a technical, scientific, or engineering discipline.Knowledge of Ruby, Python, or other modern programming or scripting language.Works with other modern application development frameworks.Know’s the difference between 'echo' and 'print'.Bonus PointsExperience building websites for mobile devices.Experience working with large, high-performance website.Has an active used and supported, contributed Drupal module.Understand differences of HTML and HTML5, CSS and CSS3.","Axelerant Perks Working closely with upstream contributions to Drupal and other Free Software. Awesome, easy going team members that’ll stretch your brain. Free virtual hosting and mail server access. Work from anywhere and with extremely flexible hours. Annual company meetups, FOSS parties, and exclusive event evenings. Weekly and quarterly feedback sessions. 2 raises a year!",1,1,1,Full-time,Mid-Senior level,,Internet,Information Technology,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
4138,Front End Developer,,"IN, MP, Indore",IT,,"47Billion is a Product engineering and Experience design company that delivers state-of-the-art solutions. We provide end-to-end solutions starting from user experience, design, architecting, development, testing, deployment and scaling. We are present in Bengaluru, Indore and Hyderabad. We have strategic partnerships with various budding startups and established firms in the US, Europe and India. Apart from helping our partners, we are also developing a product that will disrupt the way people engage with online content. OUR PARTNERSPersonagraph is our strategic partner. Personagraph helps companies understand their mobile users, their interests, and their needs. Personagraph platform provide actionable user insights to help developers improve mobile user acquisition, engagement, monetization, and personalisation efforts. 47Billion's R&amp;D team consisting of product managers, architects and developers build Analytics, Monetization and Campaign Management products for Personagraph. We also help Personagraph in sales in Asia-Pacific region. Cisco is world leader in designing and manufacturing networking equipments. 47Billion is a certified partner with Cisco. We provide user experience and design for their latest products in security and machine-to-machine areas.L-Squared Digital Signage builds enterprise Digital Signage product that any business can use to enhance their core operations. 47Billion is a strategic partner with LSN. We help them with complete end-to-end product development with user experience, design, development and testing.Cavo Knowledge Search is a SAAS based solution of Humanizing Technologies that allows you to find documents and emails quickly and easily. It knocks down document silos by searching across varied repositories as well as in multiple locations. 47Billion is a product development partner with Cavo especially in scalability and high-availability areas.ccZen is a Silicon valley startup that develops products to simplify email communication and collaboration between people. 47Billion is an engineering partner with ccZen. We do end-to-end product design and development. We take care of user experience design, architecture, feature development and testing, scalability and cloud deployment and management of the product.","Code everything that is user facing using front end technologies and frameworks.Work with team and Senior Design UX to ensure design alignment with overall creative and brand strategy.Maintain day-to-day management of assigned projects and prioritize workload to ensure all project deadlines are met.Execute all visual design stages from concept to final hand-off for platform development.Proactively seek and incorporate feedback from managers, project leads and clients.","QualificationHigh proficiency in HTML, HTML5, CSS, CSS3, JavaScript, jQuery, Ajax, JSON.4+ years of experience. Working knowledge with JSP, Velocity or similar technology integration is a plus.Having an Experience with Responsive Design/Media Queries Bootstrap, Foundation, Front-end frameworks.Background with Highcharts, backbonejs, angularjs, nodejs will be helpful.Comfortable working on complex mobile and social applications along with consumer-focused content websites.A high degree of creativity, digital design and problem solving abilities.Ability to create, implement and integrate quality designs under pressure and manage multiple projects simultaneously in a fast-paced environment. Additional InformationRequirements:A proven leader.Self-starter who can wade the uncertain waters.Exceptional communication skills, verbal and written.Highly organised. Passion for ideas and products.Curiosity about the latest in smart devices.Sense of humour.",,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
1835,Software Development Engineers - all Levels,,"IN, KA, Bangalore",,0-0,"Boomerang Commerce powers competitive pricing and assortment decisions for next-generation retailers. Our customers include the fastest growing IR50 e-commerce and multi-channel retailers. Through dynamic pricing and assortment planning and expansion, we have driven millions in revenues and margins.","As a Software Development Engineer at Boomerang Commerce you will work alongside some of the brightest minds in the country, on a highly analytical retail pricing platform. You will play a key role in advancing our product while delivering a world class product that can scale to thousands of retailers. We're looking for smart adaptable developers that have experience building large, scalable distributed systems. As our products evolve rapidly, the ability to push technology forward and be nimble across the stack while effectively solving new and complex problems is the critical element for success. Responsibilities: Being nimble across the stack while effectively solving new and complex problems is the critical element for success. Your responsibility is to solve problems by advancing technology. Ability to work on a high powered and fast changing start-up environment","Desired Skills and ExperienceSDE1Btech/MS/MTech in Computer Science, Math or a related field from IITs or NITsExperience: 1-4 yearsSound knowledge of Algorithms and Data structuresThe ideal candidate will be an experienced Java developer with problem solving and object-oriented coding skillsYou should be comfortable with scripting, proficient in the Linux environment, and capable in SQL and RDBMS conceptsExperience with distributed transaction-processing systems or asynchronous messaging technology is a plusKnowledge of Python or other scripting languages and NoSQL databases is a plusSDE 2/3Btech/MS/MTech in Computer Science, Math or a related field from IITs or NITsExperience: 4-7 yearsSound knowledge of Algorithms and Data structuresThe ideal candidate will be an experienced Java developer with exceptional software system design, problem solving, and object-oriented coding skillsYou should be comfortable with scripting, proficient in the Linux environment, and capable in SQL and RDBMS conceptsExperience with distributed transaction-processing systems or asynchronous messaging technology is a mustGood understanding of system performance trade-offs, load balancing, and engineering for high availabilityUnderstanding of enterprise information systems, service oriented architectures, and operational data stores is a plusKnowledge of Python or other scripting languages and NoSQL databases is a plus",We offer early stage equity in addition to competitive market salaries and provide you a high growth environment to do something big. Please contact #EMAIL_a6dceaea5b3f0270e13767c173a6419132f88dfa934565501351bca11a39b039# if you are interested in building the next billion dollar big data company.,0,1,0,Full-time,Entry level,Bachelor's Degree,Computer Software,Other,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
13579,Technical Support Executive,,"IN, MP, Indore",Support,200000-240000,"Being into the IT domain for over 4 years, Walkover specializes in web based application development and mobile application development. It has been creating innovative products since it was founded and continues to introduce new products from time to time.Technologies we useCore PHP, Python, #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#, Android, Windows, open source software and powerful AWS servers. Walkover uses the best available technology - premium version of databases and so on, so that our products work smoothly.Key ProductsMSG91 (SMS solutions provider)MSG91 is an internet based service that allows you to send SMS and critical alerts to the masses.Product info:#URL_dec6f6c8d9574a0bc1a076d97338f24cd6025226211457c53c3687296348c0f4#UtterU (International calling)UtterU enables international calling by using mobile dialers, access numbers and other ways like two-way calling. It helps you connect all over the world at very low cost.Product info: #URL_c7cee061daffb40439ee81a61a60ff7f68ca42dd3fd22258a611ff29d71dbae5#Giddh (Accounting software)Giddh is an extremely simple to use Accounting software that manages your day to day financial transactions in a systematic way so that it enhances the efficiency of your business.Product info: #URL_50c92cae3ee0f3f612d663ce1c86fd894e4c1a6247b98a273f0c828e13c68de2#Saveandsearch (Save your documents now to search them later)A web based tool which enables you to save anything and search later.Product info: #URL_cbcbf9e91b0d65022dfffc9fcab1f6005b8f6f42b967c08f21d13332ff197003#",• Scrutinizing the reports of trouble that are received by client and customer.• Should be able to provide the text and voice support .• Should have professional approach towards problems and responding to them in a timely manner.• Should have basic and advanced level skills on computer and understand the technical process.• Responding to the issues of servicing with effective skills.• Should know how to tackle the issues of technical support.,"1. Excellent analytical and problem solving skill , combined with the ability to provide quick resolutions to the problem .2. Strong verbal and written communication are mandatory .3. Act as an intermediary between the organization and client and /or customer such as dealing with the complaints and queries of consumer and /or client4. Technical support executives should possess a Bachelor’s degree and also have working knowledge of computers. In fact, they must have knowledge of technical details for working as technical support executive or in a similar capacity.",,0,1,0,Full-time,Entry level,Bachelor's Degree,Information Technology and Services,Information Technology,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
7973,"Hiring Tech Lead - Linux @ Zeon Solutions, Nagpur !!!!",,"IN, MH, Nagpur",IT Support,,,"Zeon is headquartered in Milwaukee, WI and has offices in Ann Arbor, MI, Seattle, WA, Chicago, IL and Boston, MA, as well as development centers in Nagpur, India. Zeon has four U.S. locations and has grown to over 450 employees worldwide. Working with Brand Partners like SITECORE, ZNODE, Magento, Endeca, etcYou can refer our website - #URL_51d5a513a1c02d186ae6ab34dce2b8e4d4a88f6a2947c09722848f32d449feaa# Do let me know if you need any more details about the company.","Qualification/Requirements: 6+ years in IT-Software/ Software Services/Web Hosting.Bachelors degree in Engineering or Sciences or equivalent.Experience in Linux administrationExperience in DNS, HTTP/HTTPS, DHCP, NIS and NFS implementationsExcellent communication skills; written, verbal and presentation.Knowledge of ITIL principlesMust be Red Hat certified","Roles &amp; Responsibilities : Provide Team Leadership to other Linux Administrators with the direction of the IT ManagerProvide systems administration support for Web Hosting based environments.Define and follow standards and best practices for server and OS builds.Work in a matrix support environment to provide 24X7 production supports for Customers.Work with Developers to define and build server environments based on customer requirements.Demonstrate the ability to create ownership of projects and incidentsEscalate issues on TimeLiaison closely application support groups to ensure a global plan is in place for post go-live supportWork closely with system administrators and the end user community to define problems and solutions and make recommendations.Work as Interface between IT Support and Developers.Develop strategic plan for staffing and skills development of technical support staff.Provides L3 support for moderately complex problems in a timely mannerStrategic planning and resource allocation in supportInvolve in evaluation of Process Improvement, Innovation and emerging TechnologiesResponsible for Training and assure Technical growth of Team members.Experience with implementing and maintaining security controls of Servers.Solid knowledge of both commercial and open source monitoring tools and utilitiesDevelop and write server and operating system design documents.Create Roster and Manage Shift timing of team members.",1,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
14509,Product Lead,,"IN, MH, mumbai",,32000-37000,,"Responsibilities:- Designing the product architecture- Overseeing the E-R diagram and database design- Ensuring product scalability, module reusability, and adoption of coding best practices- Overseeing productivity of the development team (consisting of 8-10 developers currently)- Preparing weekly updates on the product development- Ensuring a proper product roadmap is created and tracked- Implementing formal software development processes and metrics- Ensuring proper backups of code are maintained as well as code versioning system (git) is being managed properlyBackgroundNII is a security company that has ventured into product development over the last couple of years. We have a team of young and enthusiastic software developers who have been working on our products for over a year. We are looking at a senior resource with at least 4-5 years’ experience in .NET development to join the team as the product lead. The candidate should be already in a product lead position, have a go-getter attitude towards problem-solving, open to helping team members resolve technical issues, and excellent communication skills to","We are looking at a senior resource with at least 4-5 years’ experience in .NET development to join the team as the product lead. The candidate should be already in a product lead position, have a go-getter attitude towards problem-solving, open to helping team members resolve technical issues, and excellent communication skills.",,0,0,0,Full-time,Mid-Senior level,,Information Services,,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
8121,SAP BOBJ Lead / Architect,,"IN, TN, Chennai",,,"Visual BI is one of the leading and fastest growing firms focusing exclusively on BI &amp; Analytics. Our offerings cover end-to-end BI services, industry and domain-specific solutions, custom visualization controls (SAP Dashboards and SAP Design Studio) and cloud-based analytics.Headquartered in Plano, Texas, Visual BI has won recognition from customers for driving high-touch engagements driven by our team of platinum-level experts, an agile delivery model and innovative solutions.Highlights:* Ranked by CIOReview as one of the Top 100 Big Data Companies in the US* Dedicated Visual BI Labs facility in San Antonio, TX, to support R&amp;D and innovations* Partnerships with established vendors such as SAP, TIBCO Spotfire, Tableau and MongoDB* A culture that encourages to look forward and think aheadMission: Our Goal is to become one of the leading firms worldwide in terms of brand recall &amp; excellence in the field of Business Intelligence &amp; Analytics by driving BI adoption with our innovative analytical solutions and applications.","This is a hands-on technical role that requires market-leading expertise in SAP BusinessObjects. As a SAP BusinessObjects Architect, you will:Own customer success and delight by directing, organizing and leading one or more SAP BI/BO engagement(s)Work with client stakeholders to understand business processes and requirementsAnalyze business and functional requirements to define target SAP BI/BO solution architectureDesign specifications for solution components in target architecturePrepare detailed implementation plan with timelinesExecute project as per plan, and ensure defect-free delivery of solution on-timeWork with other technical SMEs to develop long-term strategy for sustainable and flexible reporting architectureEnsure adoption of best-in-class practices and standards for development, support, quality control and documentationDrive timely and proactive issue identification, escalation &amp; resolutionProvide technical leadership for the team to perform the following activities. Where required, execute these activities hands-on by yourself without requiring assistance.Design, implement and maintain complex BO Universes (using IDT and UDT) on top of OLAP and relational data sourcesBuild canned and ad-hoc reports and dashboards using one or more of the following tools: SAP Dashboards (Xcelsius) / Web Intelligence / Crystal Reports (2011 and Enterprise)/ Analysis for Office &amp; OLAP/ SAP Mobile BI / SAP BO Explorer / SAP Design Studio / LumiraDevelop complex SQL scripts and queriesEnsure timely proactive issue identification, escalation &amp; resolutionWork independently with minimal supervisionMentor team members and facilitate a strong foundation for their career growth and developmentOutline career development objectives and plan for every subordinate based on their interests and aspirationsDevelop individuals into well-rounded BI professionals by helping them acquire skills across backend design, reporting tools, performance tuning, quality assurance, estimation, communication and project managementHelp build organization competency by designing, upgrading and administering training programsMentor individuals to proactively experiment with bleeding edge innovations in BI; Provide innovative suggestions for PoCs and demosOrganize and moderate internal focus groups for knowledge sharingHelp team members establish themselves as BI thought leaders in the industry by leveraging social media and online forumsBe a pillar of support for Visual BI’s vibrant culture by always willing and eager to experiment, learn, and deliver customer value while having fun.","Market-leading expertise in SAP BusinessObjects with significant expertise in relational databases and dimensional modeling.Following expertise, while optional, would be a plusExperience with BusinessObjects 4.1 or laterSAP BW experience (Extraction, Modeling, Transformation, BEx Queries)SAP BW + BOBJ integration experienceSAP BusinessObjects Security and Administration experienceExperience in non-SAP visualization tools such as Qlikview, Tableau and SpotfireStrong ETL experience with SAP BO Data Services or InformaticaExcellent teamwork, interpersonal and communication skills a must","Visual BI offers a generous package of benefits including 24x7 access to ALL SAP BI toolsets for learning, one of the best and comprehensive medical cover for self and eligible dependents, maternity/paternity leave, broadband reimbursements and more.",0,1,1,Full-time,,,,Consulting,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
17287,Front-End Web Developer,,"IN, , Pune",,,"Inviting inspirational individualsWe’re fast becoming a world-class company, making a massive impact to charities. We’re looking for top talent to join our growing London and Nottingham offices.5 Reasons to work for Raising IT1. Be part of a fast-moving tech companyWe love driving forwards innovation and everyone in the team contributes ideasWe’re still a small team, making a big difference2. Work with leading charitiesOur client list includes leading charities such as RSPCA, Macmillan and UNICEFEarn what you would elsewhere, but make millions for causes that count too3. Make a massive impact in the worldThe charity space is really struggling as government funding is decreasingThe future is web and social media and we are leading the way4. Have a huge opportunity not just a jobWe are onto something big, you will be a big part of it, not a corporate clogOur products have already hugely successful, but this is just the beginning5. Join a great, fun and friendly teamOur team is driven by the difference we are makingWe are passionate people that know how to work hard and have a good time","Someone with a passion for web development, UI design, producing high quality code and wowing clients at every opportunity.We are looking to recruit a bright, enthusiastic front-end web developer to work with us in our Pune based team. We would be interested in talking to anyone that has at least 2 years experience.At Raising IT you’ll be working with products that are used by thousands of users that people rely on every single day. You’ll be working with some of the best designers and developers in the industry.","Your purposeYou'll be taking Photoshop and Fireworks designs and slicing them up into beautiful, accessible and compatible HTML and CSS (With the occasional bit of JQuery thrown in). Your solutions will work happily in Chrome, Firefox and the latest IE. They will also degrade gracefully and play nicely in IE8 and IE7. Your code will also be expected to work on the majority of mobile devices too, either by zooming or responsive design, depending on client requirements.Key tasksWorking closely with designers you will be expected to turn static design interactive standards compliant web pages, ready to be hooked up to live data by our development team.Demonstrable experienceYou must have demonstrable skills and a folio of work relating to your front end web development and implementation skills.Skills for successYou’ll have technical skills in:HTML/HTML5, CSS/CSS3, JavaScript and jQuerybuilding 'mobile' views (not 'apps' at this point)thorough understanding of WebFonts, from Google etc.thorough understanding of accessibility and W3C standardsAlso beneficial, but not essential, skills would:experience with Content Management Systemswide experience of 3rd party web solutions and systems that may be useful in future projects (Google analytics, Split testing etc)Understanding of how SEO works and core techniquesknowledge of code management tools, such as SVN, GIT etc","Place of workPlease note: You will be based out of the office in Pune, India so you need to be able to travel here every day. Please only apply if you can do this.To applyTo apply for this position please send a CV and tell us why you are interested in the role and why you could be the one for us.(Please note that we are NOT using recruitment agencies to fill this role - we are managing the recruitment internally.)",0,1,0,,,,,,0,0,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
2397,Senior QA Engineer,,"IN, , Hyderabad",Information Technology,,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral","Responsibilities:* Acquire and maintain a comprehensive expertise in all company components Platform, test automation, and monitoring systems currently being used.* Works closely with Development engineers and other Quality Assurance team members to identify, report, and troubleshoot defects to verify problem fixes in a detailed, efficient, and timely manner.* Ensure that new and existing product functionality are reliable, defect free and function as intended.* Strong analytical and problem solving skills, an ability to multitask, and work in a fast-paced environment with changing priorities.* Work with QA managers and Director to develop and execute QA strategies to meet department and corporate's goals.* Gather and provide metrics for automation and product readiness.* Analyze gaps in #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e#’s immune system (automated test suite) coverage.","Required Skills and Experience:Minimum of five years of experience in software quality assurance, or related field, including individual contributor experience. Programming aptitude; able to read and understand code, write automation test cases. Working knowledge of software development and QA methodologies. Excellent communication skills. Experience in designing, implementing, and managing automated test suites.","What Is OfferedOur client's core values drive their culture. This is what they believe and we support: Watch the culture video to learn more.MAKE CUSTOMERS SUCCESSFUL ""Customers' success is ours. We live to solve their problems, improve their futures, and exceed their expectations. When our customers win, we win.""SET THE BAR HIGH. ""We're trying to revolutionize an industry, so we can't be just good—we have to be the best. That means striving for the best team, product, and company on the planet.""BE ACCOUNTABLE. ""We own our work. We keep our promises. And we always follow through. We take responsibility for failures, and humble bows for successes. There's no time for excuses and finger pointing.""SHOW INTEGRITY. ""Forget loopholes, back doors, and shades of gray. We just say it. We are honest and straightforward with everyone. The only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.""MAKE EACH OTHER BETTER. ""Everything we achieve, we achieve together. Nobody is too important to grab a broom.""ALWAYS MOVE FORWARD. ""We see the world as it could be, not just as it is. With our passion for finding new solutions to old problems, we're creating that new world. It's a future worth adapting to.""The Benefits Generous paid time off to help you maintain a good work-life balanceFully catered lunches available everyday to all employees at the corporate officeOffices fully stocked with snacks and refreshments to keep you energized and productiveExtensive employee benefits and perks to show how much we value your effortsFun team events, company events, employee sponsored events, employee recognition awards, and more!We are currently under contract with our client in attracting, engaging and initiating the hiring process. We are working directly with the hirng manager for this role and welcome the opportunity to discuss your candidacy with you. Thank you for your time and consideration. We look forward to hearing from you. Please direct resumes, questions and inqueries to Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Engineering,1,1,emscad_india_demo,https://www.kaggle.com/datasets/shivamb/real-or-fake-fake-jobposting-prediction,True
